cell_id	cell_type	annotator
LiveCell_T_BB193_Plate2_clustered_cell_2074	Stromal	Annotator-2
LiveCell_T_BB193_Plate2_clustered_cell_321	Epithelial (luminal)	Annotator-2
LiveCell_T_BB072_Plate2_clustered_cell_3322	T cells	Annotator-2
LiveCell_N_BB227_Plate2_clustered_cell_2894	Stromal	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_8758	Unclear	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_11044	Epithelial (basal)	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_12707	T cells	Annotator-2
LiveCell_T_BB072_Plate2_clustered_cell_443	Epithelial (basal)	Annotator-2
LiveCell_N_BB227_Plate2_clustered_cell_2208	Endothelial	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_955	Epithelial (basal)	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_12598	Macrophage	Annotator-2
LiveCell_T_BB155_Plate1_clustered_cell_1019	Unclear	Annotator-2
LiveCell_N_BB227_Plate2_clustered_cell_2760	Macrophage	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_12032	T cells	Annotator-2
LiveCell_T_BB236_Plate2_clustered_cell_317	T cells	Annotator-2
LiveCell_T_BB193_Plate2_clustered_cell_2239	Epithelial (basal)	Annotator-2
LiveCell_T_BB072_Plate2_clustered_cell_267	T cells	Annotator-2
LiveCell_T_BB055_Plate1_clustered_cell_941	Unclear	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_8855	Epithelial (basal)	Annotator-2
LiveCell_T_BB055_Plate1_clustered_cell_6	T cells	Annotator-2
LiveCell_T_BB236_Plate2_clustered_cell_1078	T cells	Annotator-2
LiveCell_T_BB046a_Plate1_clustered_cell_2019	T cells	Annotator-2
LiveCell_T_BB046a_Plate1_clustered_cell_2397	T cells	Annotator-2
LiveCell_N_BB227_Plate2_clustered_cell_1313	Epithelial (luminal)	Annotator-2
LiveCell_T_BB145_Plate1_clustered_cell_624	Epithelial (luminal)	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_7004	T cells	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_5375	T cells	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_4869	Unclear	Annotator-2
LiveCell_T_BB072_Plate2_clustered_cell_3943	T cells	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_10283	T cells	Annotator-2
LiveCell_T_BB028_Plate2_clustered_cell_161	T cells	Annotator-2
LiveCell_T_BB072_Plate2_clustered_cell_1288	Endothelial	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_7043	Endothelial	Annotator-2
LiveCell_T_BB046a_Plate1_clustered_cell_532	Epithelial (luminal)	Annotator-2
LiveCell_T_BB072_Plate2_clustered_cell_1262	Epithelial (luminal)	Annotator-2
LiveCell_T_BB193_Plate2_clustered_cell_274	T cells	Annotator-2
LiveCell_T_BB155_Plate1_clustered_cell_402	T cells	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_5051	T cells	Annotator-2
LiveCell_T_BB046a_Plate1_clustered_cell_1638	T cells	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_8518	T cells	Annotator-2
LiveCell_N_BB227_Plate2_clustered_cell_2286	Epithelial (basal)	Annotator-2
LiveCell_T_BB072_Plate2_clustered_cell_935	Unclear	Annotator-2
LiveCell_T_BB236_Plate2_clustered_cell_1141	Endothelial	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_6819	T cells	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_4858	T cells	Annotator-2
LiveCell_T_BB028_Plate2_clustered_cell_203	Stromal	Annotator-2
LiveCell_T_BB046a_Plate1_clustered_cell_555	Macrophage	Annotator-2
LiveCell_T_BB193_Plate2_clustered_cell_184	Endothelial	Annotator-2
LiveCell_T_BB193_Plate2_clustered_cell_2311	Unclear	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_6331	Epithelial (luminal)	Annotator-2
LiveCell_N_BB227_Plate2_clustered_cell_1706	Endothelial	Annotator-2
LiveCell_T_BB193_Plate2_clustered_cell_1524	T cells	Annotator-2
LiveCell_T_BB155_Plate1_clustered_cell_15	Stromal	Annotator-2
LiveCell_T_BB155_Plate1_clustered_cell_1506	Epithelial (luminal)	Annotator-2
LiveCell_T_BB072_Plate2_clustered_cell_639	T cells	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_12091	Epithelial (basal)	Annotator-2
LiveCell_T_BB072_Plate2_clustered_cell_3521	T cells	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_577	T cells	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_2496	Epithelial (basal)	Annotator-2
LiveCell_T_BB193_Plate2_clustered_cell_1298	Epithelial (basal)	Annotator-2
LiveCell_T_BB046a_Plate1_clustered_cell_1796	T cells	Annotator-2
LiveCell_T_BB155_Plate1_clustered_cell_373	T cells	Annotator-2
LiveCell_T_BB072_Plate2_clustered_cell_347	Stromal	Annotator-2
LiveCell_T_BB145_Plate1_clustered_cell_912	Unclear	Annotator-2
LiveCell_T_BB099_Plate1_clustered_cell_3984	T cells	Annotator-2
LiveCell_N_BB227_Plate2_clustered_cell_985	T cells	Annotator-2
LiveCell_T_BB028_Plate2_clustered_cell_174	T cells	Annotator-2
